Baseline,0.00917191184509591
Gas,0.009286935803455937
Sveriges Förbrukning MWh,0.010037540676769673
Summa Vindkraft,0.011003222585609306
Summa Vattenkraft,0.00788225175107956
Summa kärnkraft,0.010059846385218663
Summa Värmekraft,0.006901838138622089
Summa Ospecificerat,0.009171974565784658
Summa Solkraft,0.009164248795324197
Sveriges Produktion MWh,0.00919799847047276
Import/Export,0.0076331869823982115
Bioenergy and renewable waste,0.0074587636289198764
Biomass and biogas,0.010455419263003895
Differently categorized fossil fuels,0.00924413330708133
Differently categorized hydro,0.008975654198615032
Differently categorized natural gas,0.010773054304591216
Differently categorized renewable energy sources,0.0091224136600772
Differently categorized solar,0.008848367487513456
Differently categorized wind,0.008361657550726658
Fossil fuels,0.00970639743884481
