Gas,0.02390126335918617
Sveriges Förbrukning MWh,0.007024082409127187
Summa Vindkraft,0.007096442133412729
Summa Vattenkraft,0.007088548926595268
Summa kärnkraft,0.006803779314229536
Summa Värmekraft,0.006971480751371647
Summa Ospecificerat,0.006636313561384359
Summa Solkraft,0.006966904162028228
Sveriges Produktion MWh,0.006968941936032716
Import/Export,0.007086188581565906
Bioenergy and renewable waste,0.0068096989530530136
Biomass and biogas,0.006573877563092208
Differently categorized fossil fuels,0.006972951747803298
Differently categorized hydro,0.007027991314088783
Differently categorized natural gas,0.006954337154218157
